,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
82657,MCO,Europe,Monaco,2020-03-11,1.0,0.0,0.0,,,0.0,25.304,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
74519,LUX,Europe,Luxembourg,2020-03-12,19.0,12.0,2.571,,,0.0,29.93,18.903,4.051,,,0.0,,0.0,0.0,,,,,,,171.0,282.0,0.444,0.269,36.0,0.057,0.071,14.0,tests performed,,,,,,,,,,,,,,31.48,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,,,,
42526,FJI,Oceania,Fiji,2020-03-13,,,,,,,,,,,,,,,,,,,,,,10.0,37.0,0.041,0.011,3.0,0.003,,,tests performed,,,,,,,,,,,,,,19.44,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
44835,GAB,Africa,Gabon,2020-03-14,1.0,1.0,,,,,0.439,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
56865,IND,Asia,India,2020-03-14,102.0,20.0,9.714,2.0,0.0,0.286,0.073,0.014,0.007,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,36.11,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
64673,KAZ,Asia,Kazakhstan,2020-03-14,6.0,2.0,,,,,0.316,0.105,,,,,,,,,,,,,,319.0,445.0,0.023,0.017,,,,,tests performed,,,,,,,,,,,,,,22.22,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
118239,SDN,Africa,Sudan,2020-03-14,1.0,1.0,,1.0,0.0,,0.022,0.022,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
33073,DNK,Europe,Denmark,2020-03-15,875.0,39.0,119.714,2.0,1.0,0.286,150.517,6.709,20.593,0.344,0.172,0.049,1.52,,,,,,,135.0,23.185,726.0,6107.0,1.051,0.125,709.0,0.122,0.169,5.9,tests performed,,,,,,,,,,,,,,65.74,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,-1101.6,-8.55,-10.28,-189.496434212432
56866,IND,Asia,India,2020-03-15,113.0,11.0,10.571,2.0,0.0,0.286,0.081,0.008,0.008,0.001,0.0,0.0,1.8,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,,,,,38.89,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
41501,OWID_EUN,,European Union,2020-03-15,49852.0,7369.0,5506.429,2248.0,477.0,263.286,111.478,16.478,12.313,5.027,1.067,0.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447189915.0,,,,,,,,,,,,,,,,,,
